物件_カテゴリ,物件_物件名,物件_住所,物件_アクセス1,物件_アクセス2,物件_アクセス3,物件_築年数_年,物件_階数,物件_階,物件_家賃_万円,物件_管理費_万円,物件_敷金_万円,物件_礼金_万円,物件_間取,物件_面積_m2,物件_URL,物件_緯度,物件_経度,地区_住所,地区_区分,地区_グループ,地区_ブロック,地区_コード,公園_最寄り,公園_最寄り_距離_m,公園_最寄り_徒歩_分,公園_住所,公園_設備,公園_緯度,公園_経度,保育園_最寄り,保育園_最寄り_距離_m,保育園_最寄り_徒歩_分,保育園_分類,保育園_住所,保育園_URL,保育園_緯度,保育園_経度,幼稚園_最寄り,幼稚園_最寄り_距離_m,幼稚園_最寄り_徒歩_分,幼稚園_分類,幼稚園_住所,幼稚園_URL,幼稚園_緯度,幼稚園_経度,小学校_最寄り,小学校_最寄り_距離_m,小学校_最寄り_徒歩_分,小学校_生徒数_人,小学校_教員数_人,小学校_クラス数_単位生徒数,小学校_住所,小学校_アクセス,小学校_URL,小学校_緯度,小学校_経度,病院_最寄り,病院_最寄り_距離_m,病院_最寄り_徒歩_分,病院_住所,病院_科,病院_緯度,病院_経度,スーパー_最寄り,スーパー_最寄り_距離_m,スーパー_最寄り_徒歩_分,スーパー_住所,スーパー_緯度,スーパー_経度,コンビニ_最寄り,コンビニ_最寄り_距離_m,コンビニ_最寄り_徒歩_分,コンビニ_住所,コンビニ_経度,コンビニ_緯度
賃貸一戸建て,It`s毛見,和歌山県和歌山市毛見,ＪＲ紀勢本線/黒江駅 歩34分,ＪＲ紀勢本線/紀三井寺駅 歩38分,ＪＲ紀勢本線/海南駅 歩43分,0,2階建,1-2階,12.0,0.0,12.0,24.0,3LDK,97.7,https://suumo.jp/chintai/jnc_000083770016/?bc=100347642247,34.1663664,135.1873106,和歌山県和歌山市毛見,名草地区,第7ブロック,南部地域,7,紀三井寺公園 ,430,2,和歌山県和歌山市毛見200番地,"「紀三井寺公園」は面積約172,300平方メートル内に、陸上競技場、野球場、テニス場、球技場・補助競技場」、登はん場、児童公園が設置された広大な公園です。...",34.1679069,135.1916166,名草幼稚園（保）,1030,5,その他の法人,和歌山県和歌山市紀三井寺５２０,https://www.gaccom.jp/nurseryschool-91752.html,34.1754811,135.1894768,名草幼稚園（幼）,1030,5,私立,和歌山県和歌山市紀三井寺５２０,https://www.gaccom.jp/kindergarten-9886.html,34.1754811,135.1894768,浜宮小学校,940,4,373,23,16学級/平均23.3人,和歌山市内原７７８-１６,黒江駅から1.3km,https://www.gaccom.jp/schools-22499.html,34.1704555,135.1962899,上山病院,570,2,和歌山県和歌山市内原998,消化器外科外科呼吸器外科小児外科内科麻酔科皮膚科放射線科整形外科乳腺外科リハビリテーション科呼吸器科消化器科循環器科肛門科,34.17098,135.1901392,オークワ 紀三井寺店,0,0,和歌山県和歌山市毛見薮下19,34.1663664,135.1873106,セブンイレブン 和歌山マリーナ入口店,670,3,和歌山県和歌山市布引662-3,135.1863328,34.1724055
賃貸一戸建て,It`s毛見,和歌山県和歌山市毛見,ＪＲ紀勢本線/黒江駅 歩34分,ＪＲ紀勢本線/紀三井寺駅 歩38分,ＪＲ紀勢本線/海南駅 歩43分,0,2階建,1-2階,12.0,0.0,12.0,24.0,3LDK,97.7,https://suumo.jp/chintai/jnc_000083770016/?bc=100347642247,34.1663664,135.1873106,和歌山県和歌山市毛見,名草地区,第7ブロック,南部地域,7,紀三井寺公園 ,430,2,和歌山県和歌山市毛見200番地,"「紀三井寺公園」は面積約172,300平方メートル内に、陸上競技場、野球場、テニス場、球技場・補助競技場」、登はん場、児童公園が設置された広大な公園です。...",34.1679069,135.1916166,名草幼稚園（保）,1030,5,その他の法人,和歌山県和歌山市紀三井寺５２０,https://www.gaccom.jp/nurseryschool-91752.html,34.1754811,135.1894768,名草幼稚園（幼）,1030,5,私立,和歌山県和歌山市紀三井寺５２０,https://www.gaccom.jp/kindergarten-9886.html,34.1754811,135.1894768,浜宮小学校,940,4,373,23,16学級/平均23.3人,和歌山市内原７７８-１６,黒江駅から1.3km,https://www.gaccom.jp/schools-22499.html,34.1704555,135.1962899,上山病院,570,2,和歌山県和歌山市内原998,消化器外科外科呼吸器外科小児外科内科麻酔科皮膚科放射線科整形外科乳腺外科リハビリテーション科呼吸器科消化器科循環器科肛門科,34.17098,135.1901392,オークワ 紀三井寺店,0,0,和歌山県和歌山市毛見薮下19,34.1663664,135.1873106,セブンイレブン 和歌山マリーナ入口店,670,3,和歌山県和歌山市布引662-3,135.1863328,34.1724055
賃貸一戸建て,It`s毛見,和歌山県和歌山市毛見,ＪＲ紀勢本線/黒江駅 歩34分,ＪＲ紀勢本線/紀三井寺駅 歩38分,ＪＲ紀勢本線/海南駅 歩43分,0,2階建,1-2階,12.0,0.0,12.0,24.0,3LDK,97.7,https://suumo.jp/chintai/jnc_000085602783/?bc=100347642232,34.1663664,135.1873106,和歌山県和歌山市毛見,名草地区,第7ブロック,南部地域,7,紀三井寺公園 ,430,2,和歌山県和歌山市毛見200番地,"「紀三井寺公園」は面積約172,300平方メートル内に、陸上競技場、野球場、テニス場、球技場・補助競技場」、登はん場、児童公園が設置された広大な公園です。...",34.1679069,135.1916166,名草幼稚園（保）,1030,5,その他の法人,和歌山県和歌山市紀三井寺５２０,https://www.gaccom.jp/nurseryschool-91752.html,34.1754811,135.1894768,名草幼稚園（幼）,1030,5,私立,和歌山県和歌山市紀三井寺５２０,https://www.gaccom.jp/kindergarten-9886.html,34.1754811,135.1894768,浜宮小学校,940,4,373,23,16学級/平均23.3人,和歌山市内原７７８-１６,黒江駅から1.3km,https://www.gaccom.jp/schools-22499.html,34.1704555,135.1962899,上山病院,570,2,和歌山県和歌山市内原998,消化器外科外科呼吸器外科小児外科内科麻酔科皮膚科放射線科整形外科乳腺外科リハビリテーション科呼吸器科消化器科循環器科肛門科,34.17098,135.1901392,オークワ 紀三井寺店,0,0,和歌山県和歌山市毛見薮下19,34.1663664,135.1873106,セブンイレブン 和歌山マリーナ入口店,670,3,和歌山県和歌山市布引662-3,135.1863328,34.1724055
賃貸一戸建て,It`s毛見,和歌山県和歌山市毛見,ＪＲ紀勢本線/黒江駅 歩34分,ＪＲ紀勢本線/紀三井寺駅 歩38分,ＪＲ紀勢本線/海南駅 歩43分,0,2階建,1-2階,12.0,0.0,12.0,24.0,3LDK,97.7,https://suumo.jp/chintai/jnc_000085602783/?bc=100347642232,34.1663664,135.1873106,和歌山県和歌山市毛見,名草地区,第7ブロック,南部地域,7,紀三井寺公園 ,430,2,和歌山県和歌山市毛見200番地,"「紀三井寺公園」は面積約172,300平方メートル内に、陸上競技場、野球場、テニス場、球技場・補助競技場」、登はん場、児童公園が設置された広大な公園です。...",34.1679069,135.1916166,名草幼稚園（保）,1030,5,その他の法人,和歌山県和歌山市紀三井寺５２０,https://www.gaccom.jp/nurseryschool-91752.html,34.1754811,135.1894768,名草幼稚園（幼）,1030,5,私立,和歌山県和歌山市紀三井寺５２０,https://www.gaccom.jp/kindergarten-9886.html,34.1754811,135.1894768,浜宮小学校,940,4,373,23,16学級/平均23.3人,和歌山市内原７７８-１６,黒江駅から1.3km,https://www.gaccom.jp/schools-22499.html,34.1704555,135.1962899,上山病院,570,2,和歌山県和歌山市内原998,消化器外科外科呼吸器外科小児外科内科麻酔科皮膚科放射線科整形外科乳腺外科リハビリテーション科呼吸器科消化器科循環器科肛門科,34.17098,135.1901392,オークワ 紀三井寺店,0,0,和歌山県和歌山市毛見薮下19,34.1663664,135.1873106,セブンイレブン 和歌山マリーナ入口店,670,3,和歌山県和歌山市布引662-3,135.1863328,34.1724055
賃貸一戸建て,Ｉｔ’ｓ毛見,和歌山県和歌山市毛見,ＪＲ紀勢本線/黒江駅 歩34分,,,1,2階建,1階,12.0,0.0,12.0,24.0,3LDK,97.7,https://suumo.jp/chintai/jnc_000084955811/?bc=100347101229,34.1663664,135.1873106,和歌山県和歌山市毛見,名草地区,第7ブロック,南部地域,7,紀三井寺公園 ,430,2,和歌山県和歌山市毛見200番地,"「紀三井寺公園」は面積約172,300平方メートル内に、陸上競技場、野球場、テニス場、球技場・補助競技場」、登はん場、児童公園が設置された広大な公園です。...",34.1679069,135.1916166,名草幼稚園（保）,1030,5,その他の法人,和歌山県和歌山市紀三井寺５２０,https://www.gaccom.jp/nurseryschool-91752.html,34.1754811,135.1894768,名草幼稚園（幼）,1030,5,私立,和歌山県和歌山市紀三井寺５２０,https://www.gaccom.jp/kindergarten-9886.html,34.1754811,135.1894768,浜宮小学校,940,4,373,23,16学級/平均23.3人,和歌山市内原７７８-１６,黒江駅から1.3km,https://www.gaccom.jp/schools-22499.html,34.1704555,135.1962899,上山病院,570,2,和歌山県和歌山市内原998,消化器外科外科呼吸器外科小児外科内科麻酔科皮膚科放射線科整形外科乳腺外科リハビリテーション科呼吸器科消化器科循環器科肛門科,34.17098,135.1901392,オークワ 紀三井寺店,0,0,和歌山県和歌山市毛見薮下19,34.1663664,135.1873106,セブンイレブン 和歌山マリーナ入口店,670,3,和歌山県和歌山市布引662-3,135.1863328,34.1724055
賃貸一戸建て,Ｉｔ’ｓ毛見,和歌山県和歌山市毛見,ＪＲ紀勢本線/黒江駅 歩34分,,,1,2階建,1階,12.0,0.0,12.0,24.0,3LDK,97.7,https://suumo.jp/chintai/jnc_000084955811/?bc=100347101229,34.1663664,135.1873106,和歌山県和歌山市毛見,名草地区,第7ブロック,南部地域,7,紀三井寺公園 ,430,2,和歌山県和歌山市毛見200番地,"「紀三井寺公園」は面積約172,300平方メートル内に、陸上競技場、野球場、テニス場、球技場・補助競技場」、登はん場、児童公園が設置された広大な公園です。...",34.1679069,135.1916166,名草幼稚園（保）,1030,5,その他の法人,和歌山県和歌山市紀三井寺５２０,https://www.gaccom.jp/nurseryschool-91752.html,34.1754811,135.1894768,名草幼稚園（幼）,1030,5,私立,和歌山県和歌山市紀三井寺５２０,https://www.gaccom.jp/kindergarten-9886.html,34.1754811,135.1894768,浜宮小学校,940,4,373,23,16学級/平均23.3人,和歌山市内原７７８-１６,黒江駅から1.3km,https://www.gaccom.jp/schools-22499.html,34.1704555,135.1962899,上山病院,570,2,和歌山県和歌山市内原998,消化器外科外科呼吸器外科小児外科内科麻酔科皮膚科放射線科整形外科乳腺外科リハビリテーション科呼吸器科消化器科循環器科肛門科,34.17098,135.1901392,オークワ 紀三井寺店,0,0,和歌山県和歌山市毛見薮下19,34.1663664,135.1873106,セブンイレブン 和歌山マリーナ入口店,670,3,和歌山県和歌山市布引662-3,135.1863328,34.1724055
賃貸一戸建て,Ｉｔ’ｓ毛見,和歌山県和歌山市毛見,ＪＲ紀勢本線/黒江駅 歩34分,,,1,2階建,1階,12.0,0.0,12.0,24.0,3LDK,97.7,https://suumo.jp/chintai/jnc_000083528068/?bc=100347109386,34.1663664,135.1873106,和歌山県和歌山市毛見,名草地区,第7ブロック,南部地域,7,紀三井寺公園 ,430,2,和歌山県和歌山市毛見200番地,"「紀三井寺公園」は面積約172,300平方メートル内に、陸上競技場、野球場、テニス場、球技場・補助競技場」、登はん場、児童公園が設置された広大な公園です。...",34.1679069,135.1916166,名草幼稚園（保）,1030,5,その他の法人,和歌山県和歌山市紀三井寺５２０,https://www.gaccom.jp/nurseryschool-91752.html,34.1754811,135.1894768,名草幼稚園（幼）,1030,5,私立,和歌山県和歌山市紀三井寺５２０,https://www.gaccom.jp/kindergarten-9886.html,34.1754811,135.1894768,浜宮小学校,940,4,373,23,16学級/平均23.3人,和歌山市内原７７８-１６,黒江駅から1.3km,https://www.gaccom.jp/schools-22499.html,34.1704555,135.1962899,上山病院,570,2,和歌山県和歌山市内原998,消化器外科外科呼吸器外科小児外科内科麻酔科皮膚科放射線科整形外科乳腺外科リハビリテーション科呼吸器科消化器科循環器科肛門科,34.17098,135.1901392,オークワ 紀三井寺店,0,0,和歌山県和歌山市毛見薮下19,34.1663664,135.1873106,セブンイレブン 和歌山マリーナ入口店,670,3,和歌山県和歌山市布引662-3,135.1863328,34.1724055
賃貸一戸建て,Ｉｔ’ｓ毛見,和歌山県和歌山市毛見,ＪＲ紀勢本線/黒江駅 歩34分,,,1,2階建,1階,12.0,0.0,12.0,24.0,3LDK,97.7,https://suumo.jp/chintai/jnc_000083528068/?bc=100347109386,34.1663664,135.1873106,和歌山県和歌山市毛見,名草地区,第7ブロック,南部地域,7,紀三井寺公園 ,430,2,和歌山県和歌山市毛見200番地,"「紀三井寺公園」は面積約172,300平方メートル内に、陸上競技場、野球場、テニス場、球技場・補助競技場」、登はん場、児童公園が設置された広大な公園です。...",34.1679069,135.1916166,名草幼稚園（保）,1030,5,その他の法人,和歌山県和歌山市紀三井寺５２０,https://www.gaccom.jp/nurseryschool-91752.html,34.1754811,135.1894768,名草幼稚園（幼）,1030,5,私立,和歌山県和歌山市紀三井寺５２０,https://www.gaccom.jp/kindergarten-9886.html,34.1754811,135.1894768,浜宮小学校,940,4,373,23,16学級/平均23.3人,和歌山市内原７７８-１６,黒江駅から1.3km,https://www.gaccom.jp/schools-22499.html,34.1704555,135.1962899,上山病院,570,2,和歌山県和歌山市内原998,消化器外科外科呼吸器外科小児外科内科麻酔科皮膚科放射線科整形外科乳腺外科リハビリテーション科呼吸器科消化器科循環器科肛門科,34.17098,135.1901392,オークワ 紀三井寺店,0,0,和歌山県和歌山市毛見薮下19,34.1663664,135.1873106,セブンイレブン 和歌山マリーナ入口店,670,3,和歌山県和歌山市布引662-3,135.1863328,34.1724055
賃貸一戸建て,Ｉｔ‘ｓ毛見,和歌山県和歌山市毛見,ＪＲ紀勢本線/黒江駅 歩33分,ＪＲ紀勢本線/海南駅 歩40分,ＪＲ紀勢本線/紀三井寺駅 歩40分,0,2階建,1-2階,12.0,0.0,12.0,24.0,3LDK,97.7,https://suumo.jp/chintai/jnc_000083753642/?bc=100345027264,34.1663664,135.1873106,和歌山県和歌山市毛見,名草地区,第7ブロック,南部地域,7,紀三井寺公園 ,430,2,和歌山県和歌山市毛見200番地,"「紀三井寺公園」は面積約172,300平方メートル内に、陸上競技場、野球場、テニス場、球技場・補助競技場」、登はん場、児童公園が設置された広大な公園です。...",34.1679069,135.1916166,名草幼稚園（保）,1030,5,その他の法人,和歌山県和歌山市紀三井寺５２０,https://www.gaccom.jp/nurseryschool-91752.html,34.1754811,135.1894768,名草幼稚園（幼）,1030,5,私立,和歌山県和歌山市紀三井寺５２０,https://www.gaccom.jp/kindergarten-9886.html,34.1754811,135.1894768,浜宮小学校,940,4,373,23,16学級/平均23.3人,和歌山市内原７７８-１６,黒江駅から1.3km,https://www.gaccom.jp/schools-22499.html,34.1704555,135.1962899,上山病院,570,2,和歌山県和歌山市内原998,消化器外科外科呼吸器外科小児外科内科麻酔科皮膚科放射線科整形外科乳腺外科リハビリテーション科呼吸器科消化器科循環器科肛門科,34.17098,135.1901392,オークワ 紀三井寺店,0,0,和歌山県和歌山市毛見薮下19,34.1663664,135.1873106,セブンイレブン 和歌山マリーナ入口店,670,3,和歌山県和歌山市布引662-3,135.1863328,34.1724055
賃貸一戸建て,Ｉｔ‘ｓ毛見,和歌山県和歌山市毛見,ＪＲ紀勢本線/黒江駅 歩33分,ＪＲ紀勢本線/海南駅 歩40分,ＪＲ紀勢本線/紀三井寺駅 歩40分,0,2階建,1-2階,12.0,0.0,12.0,24.0,3LDK,97.7,https://suumo.jp/chintai/jnc_000083753642/?bc=100345027264,34.1663664,135.1873106,和歌山県和歌山市毛見,名草地区,第7ブロック,南部地域,7,紀三井寺公園 ,430,2,和歌山県和歌山市毛見200番地,"「紀三井寺公園」は面積約172,300平方メートル内に、陸上競技場、野球場、テニス場、球技場・補助競技場」、登はん場、児童公園が設置された広大な公園です。...",34.1679069,135.1916166,名草幼稚園（保）,1030,5,その他の法人,和歌山県和歌山市紀三井寺５２０,https://www.gaccom.jp/nurseryschool-91752.html,34.1754811,135.1894768,名草幼稚園（幼）,1030,5,私立,和歌山県和歌山市紀三井寺５２０,https://www.gaccom.jp/kindergarten-9886.html,34.1754811,135.1894768,浜宮小学校,940,4,373,23,16学級/平均23.3人,和歌山市内原７７８-１６,黒江駅から1.3km,https://www.gaccom.jp/schools-22499.html,34.1704555,135.1962899,上山病院,570,2,和歌山県和歌山市内原998,消化器外科外科呼吸器外科小児外科内科麻酔科皮膚科放射線科整形外科乳腺外科リハビリテーション科呼吸器科消化器科循環器科肛門科,34.17098,135.1901392,オークワ 紀三井寺店,0,0,和歌山県和歌山市毛見薮下19,34.1663664,135.1873106,セブンイレブン 和歌山マリーナ入口店,670,3,和歌山県和歌山市布引662-3,135.1863328,34.1724055
