コンビニ_店舗,コンビニ_住所,コンビニ_経度,コンビニ_緯度,地区_住所,地区_区分,地区_グループ,地区_ブロック,地区_コード
セブンイレブン 和歌山小雑賀1丁目店,和歌山県和歌山市小雑賀1丁目445-1,135.1799922,34.2142487,和歌山県和歌山市小雑賀,宮前地区,第6ブロック,中心部地域,1
セブンイレブン 和歌山友田町4丁目店,和歌山県和歌山市友田町4丁目34番地,135.1877097,34.2332227,和歌山県和歌山市友田町2,大新地区,第10ブロック,中心部地域,1
セブンイレブン 和歌山永山店,和歌山県和歌山市永山25-1,135.2607451,34.2055525,和歌山県和歌山市永山,東山東地区,第5ブロック,南東部地域,6
セブンイレブン 和歌山塩屋店,和歌山県和歌山市塩屋6丁目729-5,135.1781116,34.1964782,和歌山県和歌山市塩屋1,高松地区,第8ブロック,中心部地域,1
セブンイレブン 和歌山マリーナ入口店,和歌山県和歌山市布引662-3,135.1863328,34.1724055,和歌山県和歌山市布引,名草地区,第7ブロック,南部地域,7
セブンイレブン 和歌山吹上店,和歌山県和歌山市吹上2丁目3-37,135.1695226,34.2215555,和歌山県和歌山市吹上1,吹上地区,第8ブロック,中心部地域,1
セブンイレブン 和歌山北新5丁目店,和歌山県和歌山市北新5丁目55,135.1777297,34.2357648,和歌山県和歌山市北新1,本町地区,第9ブロック,中心部地域,1
セブンイレブン 和歌山平岡店,和歌山県和歌山市平岡307,135.274188,34.2713158,和歌山県和歌山市平岡,山口地区,第3ブロック,北東部地域,4
セブンイレブン 和歌山北島店,和歌山県和歌山市北島104-1,135.1592825,34.241718,和歌山県和歌山市北島,野崎地区,第2ブロック,北部地域,3
セブンイレブン 和歌山田尻南店,和歌山県和歌山市田尻西新内656番1,135.197424,34.2026141,和歌山県和歌山市田尻,三田地区,第5ブロック,南東部地域,6
セブンイレブン 和歌山山吹丁店,和歌山県和歌山市山吹丁23番地,135.1737112,34.2376295,和歌山県和歌山市山吹丁,本町地区,第9ブロック,中心部地域,1
セブンイレブン 和歌山楠見中店,和歌山県和歌山市楠見中城之口188-1,135.1763564,34.2552123,和歌山県和歌山市楠見中,楠見地区,第2ブロック,北部地域,3
セブンイレブン 和歌山梶取店,和歌山県和歌山市梶取319-2,135.1555483,34.2525214,和歌山県和歌山市梶取,野崎地区,第2ブロック,北部地域,3
セブンイレブン JR和歌山駅東口店,和歌山県和歌山市黒田1丁目2番1号,135.1932203,34.2327109,和歌山県和歌山市黒田,宮北地区,第6ブロック,中心部地域,1
セブンイレブン 和歌山栄谷店,和歌山県和歌山市栄谷404-3,135.1601096,34.2595994,和歌山県和歌山市栄谷,貴志地区,第2ブロック,北部地域,3
セブンイレブン ハートインJR和歌山駅中央口店,和歌山県和歌山市美園町5-61,135.1905253,34.232417,和歌山県和歌山市美園町2,大新地区,第10ブロック,中心部地域,1
セブンイレブン 和歌浦津屋店,和歌山県和歌山市和歌浦中3丁目1番28号,135.171769,34.1903263,和歌山県和歌山市和歌浦中1,和歌浦地区,第7ブロック,南部地域,7
セブンイレブン 和歌山向芝店,和歌山県和歌山市中之島2242番,135.1849025,34.237039,和歌山県和歌山市中之島,中之島地区,第9ブロック,中心部地域,1
セブンイレブン 和歌山川永団地店,和歌山県和歌山市島字東嶋98-1,135.2518932,34.2572572,和歌山県和歌山市島,川永地区,第3ブロック,北東部地域,4
セブンイレブン 和歌山美園町4丁目店,和歌山県和歌山市美園町4丁目9,135.1883271,34.2294066,和歌山県和歌山市美園町2,大新地区,第10ブロック,中心部地域,1
セブンイレブン 和歌山京橋店,和歌山県和歌山市駿河町28,135.1738785,34.2330585,和歌山県和歌山市駿河町,城北地区,第9ブロック,中心部地域,1
セブンイレブン 和歌山塩屋1丁目店,和歌山県和歌山市塩屋1丁目4-30,135.1792469,34.2023024,和歌山県和歌山市塩屋1,高松地区,第8ブロック,中心部地域,1
セブンイレブン 和歌山市駅前店,和歌山県和歌山市杉ノ馬場1丁目48番地,135.1675993,34.2357067,和歌山県和歌山市杉ノ馬場1,城北地区,第9ブロック,中心部地域,1
セブンイレブン 和歌山狐島店,和歌山県和歌山市狐島字長畑357番1,135.15062,34.2477577,和歌山県和歌山市狐島,野崎地区,第2ブロック,北部地域,3
セブンイレブン 和歌山四ヶ郷店,和歌山県和歌山市加納247-1,135.206447,34.2451123,和歌山県和歌山市加納,四箇郷地区,第4ブロック,東部地域,5
セブンイレブン 和歌山パームシティ前店,和歌山県和歌山市土入168-25,135.1401505,34.2534616,和歌山県和歌山市土入,貴志地区,第2ブロック,北部地域,3
セブンイレブン 和歌山西庄店,和歌山県和歌山市木ノ本211-1,135.122835,34.2622614,和歌山県和歌山市木ノ本,木本地区,第1ブロック,北西部地域,2
セブンイレブン 和歌山湊御殿店,和歌山県和歌山市湊御殿3丁目1-12,135.1573331,34.2183642,和歌山県和歌山市湊御殿1,砂山地区,第8ブロック,中心部地域,1
セブンイレブン 和歌山太田店,和歌山県和歌山市太田字神ノ畔144番地,135.197424,34.22933450000001,和歌山県和歌山市太田,宮地区,第6ブロック,中心部地域,1
セブンイレブン 和歌山榎原店,和歌山県和歌山市榎原73-3,135.1333882,34.255262,和歌山県和歌山市榎原,木本地区,第1ブロック,北西部地域,2
セブンイレブン 和歌山楠見中西店,和歌山県和歌山市楠見中37-2,135.1751314,34.2537245,和歌山県和歌山市楠見中,楠見地区,第2ブロック,北部地域,3
セブンイレブン 和歌山梅原店,和歌山県和歌山市梅原字神免88番2,135.1377572,34.2607123,和歌山県和歌山市梅原,貴志地区,第2ブロック,北部地域,3
セブンイレブン 和歌山宇田森店,和歌山県和歌山市宇田森字才ノ神277番1,135.2466192,34.260949,和歌山県和歌山市宇田森,紀伊地区,第3ブロック,北東部地域,4
セブンイレブン 和歌山下三毛店,和歌山県和歌山市下三毛字神木41番3,135.2970397,34.2362856,和歌山県和歌山市下三毛,小倉地区,第4ブロック,東部地域,5
セブンイレブン 和歌山久保丁2丁目店,和歌山県和歌山市久保丁2丁目32,135.1661049,34.2312219,和歌山県和歌山市久保丁1,雄湊地区,第9ブロック,中心部地域,1
セブンイレブン 和歌山黒田店,和歌山県和歌山市黒田177番7,135.1953521,34.2361855,和歌山県和歌山市黒田,宮北地区,第6ブロック,中心部地域,1
セブンイレブン 和歌山吹屋町店,和歌山県和歌山市吹屋町2丁目22番55号,135.1871265,34.2239929,和歌山県和歌山市吹屋町1,新南地区,第10ブロック,中心部地域,1
