title,address,longitude,latitude,Area,Group,Block,地区_コード
イズミヤ 和歌山店,和歌山県和歌山市新生町7-20,34.2216055,135.1876205,新南地区,第10ブロック,中心部地域,1
スーパーエバグリーンプラス 和歌山北インター店,和歌山県和歌山市直川274-1,34.2584502,135.2184799,有功地区,第3ブロック,北東部地域,4
オークワ 本社中島店,和歌山県和歌山市中島185-3,34.2090903,135.1864986,宮前地区,第6ブロック,中心部地域,1
オークワ 六十谷店,和歌山県和歌山市六十谷217-1,34.2615261,135.20247,有功地区,第3ブロック,北東部地域,4
スーパーセンターオークワ セントラルシティ和歌山店,和歌山県和歌山市小雑賀805-1,34.1957716,135.1849544,宮前地区,第6ブロック,中心部地域,1
業務スーパー 六十谷店,和歌山県和歌山市園部1445-1,34.2629179,135.1973143,有功地区,第3ブロック,北東部地域,4
業務スーパー 榎原店,和歌山県和歌山市榎原78番の3,34.2544081,135.1341124,木本地区,第1ブロック,北西部地域,2
業務スーパー 神前店,和歌山県和歌山市神前164-1,34.2166164,135.2010285,岡崎地区,第5ブロック,南東部地域,6
業務スーパー 和歌川店,和歌山県和歌山市和歌川町9番36号,34.1932409,135.1773069,和歌浦地区,第7ブロック,南部地域,7
業務スーパー 和歌浦店,和歌山県和歌山市西浜969-7,34.1992009,135.1584786,雑賀地区,第7ブロック,南部地域,7
業務スーパー 鈴丸店,和歌山県和歌山市北新5丁目62-1,34.2357286,135.1785172,本町地区,第9ブロック,中心部地域,1
株式会社オークワ 和歌山食品センター(PC),和歌山県和歌山市大垣内621-1,34.2486785,135.2754151,小倉地区,第4ブロック,東部地域,5
株式会社オークワ,和歌山県和歌山市中島185-3,34.2090903,135.1864986,宮前地区,第6ブロック,中心部地域,1
松源 小雑賀店,和歌山県和歌山市小雑賀2-2-5,34.2135838,135.1811413,宮前地区,第6ブロック,中心部地域,1
株式会社オークワ 和歌山食品工場,和歌山県和歌山市吐前叺り1047-1,34.2472575,135.2700638,小倉地区,第4ブロック,東部地域,5
株式会社オークワ オーデリカファクトリー和歌山,和歌山県和歌山市大垣内656,34.2471735,135.2730646,小倉地区,第4ブロック,東部地域,5
JAわかやま 愛菜(あいさい)てまりっこ 【いさお店】,和歌山県和歌山市園部1449,34.2633987,135.1971131,有功地区,第3ブロック,北東部地域,4
JAわかやま 愛菜(あいさい)てまりっこ 【かせい店】,和歌山県和歌山市榎原223-26,34.2561392,135.126907,木本地区,第1ブロック,北西部地域,2
株式会社オークワ 和歌山食品センター,和歌山県和歌山市大垣内621-1,34.2486785,135.2754151,小倉地区,第4ブロック,東部地域,5
オークワ 大浦街道店,和歌山県和歌山市湊西ノ坪45-1,34.2262605,135.1354189,雄湊地区,第9ブロック,中心部地域,1
オークワ 和歌山中之島店,和歌山県和歌山市納定104,34.2382847,135.1893872,宮北地区,第6ブロック,中心部地域,1
オークワ オーストリート 和歌山北バイパス店,和歌山県和歌山市平井154,34.2600959,135.1697747,楠見地区,第2ブロック,北部地域,3
オークワ 紀三井寺店,和歌山県和歌山市毛見薮下19,34.1663664,135.1873106,名草地区,第7ブロック,南部地域,7
Price Cut(プライス カット) 神前店,和歌山県和歌山市神前509,34.20928,135.2060358,岡崎地区,第5ブロック,南東部地域,6
スーパーセンターオークワ パームシティ和歌山店,和歌山県和歌山市中野31-1,34.2542792,135.1394014,貴志地区,第2ブロック,北部地域,3
MESA OKUWA(メッサ オークワ) 高松店,和歌山県和歌山市西高松1-7-88,34.2087598,135.1701134,吹上地区,第8ブロック,中心部地域,1
MESA OKUWA(メッサ オークワ) ガーデンパーク和歌山店,和歌山県和歌山市松江向鵜ノ島1469-1,34.2385864,135.1284047,貴志地区,第2ブロック,北部地域,3
A-プライス 和歌山店,和歌山県和歌山市広瀬中ノ丁2-55,34.2256741,135.1835613,広瀬地区,第10ブロック,中心部地域,1
エバグリーン 和佐店,和歌山県和歌山市和佐中102-1,34.2384207,135.2420003,和佐地区,第4ブロック,東部地域,5
松源 栄谷店,和歌山県和歌山市延時字水口10-1,34.2524929,135.1500353,貴志地区,第2ブロック,北部地域,3
生鮮食品館ヒダカヤ 高松店,和歌山県和歌山市宇須1-374-1,34.2108873,135.1741116,高松地区,第8ブロック,中心部地域,1
