小学校_学校名,小学校_生徒数,小学校_教員数,小学校_クラス数_単位生徒数,小学校_住所,小学校_アクセス,小学校_URL,小学校_緯度,小学校_経度,地区_住所,地区_区分,地区_グループ,地区_ブロック,地区_コード
芦原小学校,59人,17人,7学級/平均8.4人,和歌山県和歌山市雄松町4-25,宮前駅から912m,https://www.gaccom.jp/schools-22490.html,34.2203647,135.1816224,和歌山県和歌山市雄松町1,広瀬地区,第10ブロック,中心部地域,1
有功小学校,329人,22人,15学級/平均21.9人,和歌山県和歌山市園部1453,六十谷駅から969m,https://www.gaccom.jp/schools-22513.html,34.2642867,135.1963631,和歌山県和歌山市園部,有功地区,第3ブロック,北東部地域,4
有功東小学校,291人,22人,14学級/平均20.8人,和歌山県和歌山市六十谷895,六十谷駅から671m,https://www.gaccom.jp/schools-22528.html,34.2684193,135.2047048,和歌山県和歌山市六十谷,有功地区,第3ブロック,北東部地域,4
今福小学校,153人,15人,9学級/平均17.0人,和歌山県和歌山市今福3-7-46,和歌山港駅から1.8km,https://www.gaccom.jp/schools-22522.html,34.2111397,135.1640713,和歌山県和歌山市今福1,今福地区,第8ブロック,中心部地域,1
太田小学校,344人,21人,14学級/平均24.6人,和歌山県和歌山市太田636,和歌山駅から697m,https://www.gaccom.jp/schools-22521.html,34.22933450000001,135.197424,和歌山県和歌山市太田,宮地区,第6ブロック,中心部地域,1
岡崎小学校,578人,36人,24学級/平均24.1人,和歌山県和歌山市寺内426,交通センター前駅から1.2km,https://www.gaccom.jp/schools-22504.html,34.2146922,135.2200294,和歌山県和歌山市寺内,岡崎地区,第5ブロック,南東部地域,6
小倉小学校,322人,20人,14学級/平均23.0人,和歌山県和歌山市新庄348,紀伊小倉駅から300m,https://www.gaccom.jp/schools-22517.html,34.2303678,135.1707405,和歌山県和歌山市新庄,小倉地区,第4ブロック,東部地域,5
加太小学校,48人,13人,7学級/平均6.9人,和歌山県和歌山市加太1210,加太駅から426m,https://www.gaccom.jp/schools-22518.html,34.2747882,135.0757227,和歌山県和歌山市加太,加太地区,第1ブロック,北西部地域,2
川永小学校,327人,24人,15学級/平均21.8人,和歌山県和歌山市楠本285,布施屋駅から1.5km,https://www.gaccom.jp/schools-22516.html,34.2567351,135.2556659,和歌山県和歌山市楠本,川永地区,第3ブロック,北東部地域,4
紀伊小学校,508人,34人,21学級/平均24.2人,和歌山県和歌山市弘西321,紀伊駅から792m,https://www.gaccom.jp/schools-22519.html,34.2665585,135.2377756,和歌山県和歌山市弘西,紀伊地区,第3ブロック,北東部地域,4
貴志小学校,361人,26人,15学級/平均24.1人,和歌山県和歌山市栄谷895-2,紀ノ川駅から1.6km,https://www.gaccom.jp/schools-22502.html,34.2597109,135.1502517,和歌山県和歌山市栄谷,貴志地区,第2ブロック,北部地域,3
貴志南小学校,305人,22人,14学級/平均21.8人,和歌山県和歌山市中野11-1,東松江駅から1km,https://www.gaccom.jp/schools-22526.html,34.2569686,135.140334,和歌山県和歌山市中野,貴志地区,第2ブロック,北部地域,3
木本小学校,544人,32人,22学級/平均24.7人,和歌山県和歌山市榎原255,八幡前駅から712m,https://www.gaccom.jp/schools-22501.html,34.2576798,135.1270257,和歌山県和歌山市榎原,木本地区,第1ブロック,北西部地域,2
楠見小学校,402人,27人,17学級/平均23.6人,和歌山県和歌山市大谷349-2,紀ノ川駅から1km,https://www.gaccom.jp/schools-22503.html,34.2594476,135.1758989,和歌山県和歌山市大谷,楠見地区,第2ブロック,北部地域,3
楠見西小学校,137人,16人,9学級/平均15.2人,和歌山県和歌山市市小路31,紀ノ川駅から324m,https://www.gaccom.jp/schools-22525.html,34.2575956,135.1682025,和歌山県和歌山市市小路,楠見地区,第2ブロック,北部地域,3
楠見東小学校,354人,25人,16学級/平均22.1人,和歌山県和歌山市善明寺150-1,紀ノ川駅から1.5km,https://www.gaccom.jp/schools-22527.html,34.2572534,135.1811469,和歌山県和歌山市善明寺,楠見地区,第2ブロック,北部地域,3
雑賀小学校,659人,34人,24学級/平均27.5人,和歌山県和歌山市西浜1-4-48,アパート前バス停から321m,https://www.gaccom.jp/schools-22486.html,34.1965941,135.1547819,和歌山県和歌山市西浜,雑賀地区,第7ブロック,南部地域,7
雑賀崎小学校,36人,9人,5学級/平均7.2人,和歌山県和歌山市西浜1148番地,石切場バス停から77m,https://www.gaccom.jp/schools-22485.html,34.1925023,135.1506931,和歌山県和歌山市西浜,雑賀地区,第7ブロック,南部地域,7
三田小学校,391人,20人,14学級/平均27.9人,和歌山県和歌山市和田419-1,竈山駅から943m,https://www.gaccom.jp/schools-22497.html,34.1991536,135.204778,和歌山県和歌山市和田,三田地区,第5ブロック,南東部地域,6
山東小学校,168人,15人,9学級/平均18.7人,和歌山県和歌山市吉礼326,吉礼駅から523m,https://www.gaccom.jp/schools-22509.html,34.2016026,135.2413641,和歌山県和歌山市吉礼,西山東地区,第5ブロック,南東部地域,6
