幼稚園_分類,幼稚園_園名,幼稚園_住所,幼稚園_URL,幼稚園_緯度,幼稚園_経度,地区_住所,地区_区分,地区_グループ,地区_ブロック,地区_コード
公立,和歌山市立本町こども園,和歌山県和歌山市北桶屋町7,https://www.gaccom.jp/kindergarten-9781.html,34.2359552,135.1756113,和歌山県和歌山市北桶屋町,本町地区,第9ブロック,中心部地域,1
公立,和歌山市立岡山幼稚園,和歌山県和歌山市吹上1丁目4－1,https://www.gaccom.jp/kindergarten-9782.html,34.2228031,135.1708213,和歌山県和歌山市吹上1,吹上地区,第8ブロック,中心部地域,1
公立,和歌山市立中之島幼稚園,和歌山県和歌山市中之島1495,https://www.gaccom.jp/kindergarten-9783.html,34.23885,135.1869256,和歌山県和歌山市中之島,中之島地区,第9ブロック,中心部地域,1
公立,和歌山市立芦原こども園,和歌山県和歌山市雄松町5－4－1,https://www.gaccom.jp/kindergarten-9784.html,34.219577,135.1810281,和歌山県和歌山市雄松町1,広瀬地区,第10ブロック,中心部地域,1
公立,和歌山市立湊幼稚園,和歌山県和歌山市湊2－17－40,https://www.gaccom.jp/kindergarten-9785.html,34.2331418,135.1446724,和歌山県和歌山市湊,雄湊地区,第9ブロック,中心部地域,1
公立,和歌山市立宮前幼稚園,和歌山県和歌山市北中島1－7－4,https://www.gaccom.jp/kindergarten-9786.html,34.2123539,135.1861941,和歌山県和歌山市北中島1,宮前地区,第6ブロック,中心部地域,1
公立,和歌山市立西和佐幼稚園,和歌山県和歌山市栗栖70,https://www.gaccom.jp/kindergarten-9787.html,34.2378903,135.2272039,和歌山県和歌山市栗栖,西和佐地区,第4ブロック,東部地域,5
公立,和歌山市立和佐幼稚園,和歌山県和歌山市祢宜949,https://www.gaccom.jp/kindergarten-9788.html,34.2352463,135.2497866,和歌山県和歌山市祢宜,和佐地区,第4ブロック,東部地域,5
公立,和歌山市立西脇幼稚園,和歌山県和歌山市西庄1012,https://www.gaccom.jp/kindergarten-9789.html,34.25895089999999,135.1046301,和歌山県和歌山市西庄,木本地区,第1ブロック,北西部地域,2
公立,和歌山市立加太幼稚園,和歌山県和歌山市加太1310,https://www.gaccom.jp/kindergarten-9790.html,34.2753241,135.0736977,和歌山県和歌山市加太,加太地区,第1ブロック,北西部地域,2
公立,和歌山市立紀伊幼稚園,和歌山県和歌山市弘西317番地,https://www.gaccom.jp/kindergarten-9791.html,34.2664473,135.2386864,和歌山県和歌山市弘西,紀伊地区,第3ブロック,北東部地域,4
公立,和歌山市立山口幼稚園,和歌山県和歌山市里146,https://www.gaccom.jp/kindergarten-9792.html,34.2671242,135.2687994,和歌山県和歌山市里,山口地区,第3ブロック,北東部地域,4
公立,和歌山市立雑賀崎幼稚園,和歌山県和歌山市西浜1148,https://www.gaccom.jp/kindergarten-9793.html,34.1925023,135.1506931,和歌山県和歌山市西浜,雑賀地区,第7ブロック,南部地域,7
私立,和歌山信愛幼稚園,和歌山県和歌山市屋形町3丁目32,https://www.gaccom.jp/kindergarten-9851.html,34.2271908,135.178903,和歌山県和歌山市屋形町1,広瀬地区,第10ブロック,中心部地域,1
私立,愛徳幼稚園（幼）,和歌山県和歌山市今福3丁目6-37,https://www.gaccom.jp/kindergarten-9853.html,34.2102136,135.1633512,和歌山県和歌山市今福1,今福地区,第8ブロック,中心部地域,1
私立,日前幼稚園,和歌山県和歌山市秋月365番地,https://www.gaccom.jp/kindergarten-9854.html,34.2279394,135.202482,和歌山県和歌山市秋月,宮地区,第6ブロック,中心部地域,1
私立,雄湊幼稚園,和歌山県和歌山市道場町1番地1,https://www.gaccom.jp/kindergarten-9855.html,34.2306023,135.1638164,和歌山県和歌山市道場町,雄湊地区,第9ブロック,中心部地域,1
私立,みどり幼稚園（幼）,和歌山県和歌山市東高松3－3－30,https://www.gaccom.jp/kindergarten-9856.html,34.2055885,135.1722977,和歌山県和歌山市東高松1,高松地区,第8ブロック,中心部地域,1
私立,東山東幼稚園,和歌山県和歌山市山東中124番地,https://www.gaccom.jp/kindergarten-9860.html,34.2007602,135.2571953,和歌山県和歌山市山東中,東山東地区,第5ブロック,南東部地域,6
私立,さくら幼稚園,和歌山県和歌山市吹上3－1－41,https://www.gaccom.jp/kindergarten-9865.html,34.2185861,135.1703231,和歌山県和歌山市吹上1,吹上地区,第8ブロック,中心部地域,1
私立,三宝幼稚園（幼）,和歌山県和歌山市楠本267-1,https://www.gaccom.jp/kindergarten-9866.html,34.257243,135.2578127,和歌山県和歌山市楠本,川永地区,第3ブロック,北東部地域,4
私立,いさお幼稚園（幼）,和歌山県和歌山市園部1518-1,https://www.gaccom.jp/kindergarten-9867.html,34.2659888,135.1989955,和歌山県和歌山市園部,有功地区,第3ブロック,北東部地域,4
私立,野崎幼稚園,和歌山県和歌山市梶取86,https://www.gaccom.jp/kindergarten-9868.html,34.2530134,135.160632,和歌山県和歌山市梶取,野崎地区,第2ブロック,北部地域,3
私立,まつえ幼稚園（幼）,和歌山県和歌山市松江中3丁目1－35,https://www.gaccom.jp/kindergarten-9871.html,34.2480292,135.1334095,和歌山県和歌山市松江中1,松江地区,第1ブロック,北西部地域,2
私立,和歌山ひかり幼稚園（幼）,和歌山県和歌山市関戸1-2-30,https://www.gaccom.jp/kindergarten-9873.html,34.201037,135.1684402,和歌山県和歌山市関戸1,雑賀地区,第7ブロック,南部地域,7
私立,ナザレ幼稚園,和歌山県和歌山市堀止西2－4－9,https://www.gaccom.jp/kindergarten-9874.html,34.2124739,135.1676724,和歌山県和歌山市堀止西1,今福地区,第8ブロック,中心部地域,1
私立,鷺森幼稚園,和歌山県和歌山市鷺ノ森片町1番地,https://www.gaccom.jp/kindergarten-9875.html,34.2365334,135.1707499,和歌山県和歌山市鷺ノ森片町,城北地区,第9ブロック,中心部地域,1
私立,たから幼稚園（幼）,和歌山県和歌山市塩屋2丁目1-15,https://www.gaccom.jp/kindergarten-9876.html,34.2014373,135.1750769,和歌山県和歌山市塩屋1,高松地区,第8ブロック,中心部地域,1
私立,名草幼稚園（幼）,和歌山県和歌山市紀三井寺520,https://www.gaccom.jp/kindergarten-9886.html,34.1754811,135.1894768,和歌山県和歌山市紀三井寺,名草地区,第7ブロック,南部地域,7
私立,たちばな幼稚園,和歌山県和歌山市西819,https://www.gaccom.jp/kindergarten-9887.html,34.2084813,135.2191258,和歌山県和歌山市西,岡崎地区,第5ブロック,南東部地域,6
私立,安原幼稚園,和歌山県和歌山市松原212,https://www.gaccom.jp/kindergarten-9888.html,34.190802,135.2322373,和歌山県和歌山市松原,安原地区,第5ブロック,南東部地域,6
私立,つくし幼保園（幼）,和歌山県和歌山市吉礼486-1,https://www.gaccom.jp/kindergarten-9897.html,34.2018112,135.2405769,和歌山県和歌山市吉礼,西山東地区,第5ブロック,南東部地域,6
私立,片男波こども園（幼）,和歌山県和歌山市和歌浦南2-11-8,https://www.gaccom.jp/kindergarten-99141.html,34.1867775,135.1687875,和歌山県和歌山市和歌浦南1,和歌浦地区,第7ブロック,南部地域,7
私立,ようすい子ども園（幼）,和歌山県和歌山市西浜1218-3,https://www.gaccom.jp/kindergarten-99142.html,34.1951881,135.1546587,和歌山県和歌山市西浜,雑賀地区,第7ブロック,南部地域,7
私立,さつきこども園（幼）,和歌山県和歌山市中島70-8,https://www.gaccom.jp/kindergarten-99143.html,34.2123531,135.1887592,和歌山県和歌山市中島,宮前地区,第6ブロック,中心部地域,1
私立,広瀬幼保園（幼）,和歌山県和歌山市片岡町1－2,https://www.gaccom.jp/kindergarten-99144.html,34.2242831,135.1747474,和歌山県和歌山市片岡町1,広瀬地区,第10ブロック,中心部地域,1
私立,新堀こども園（幼）,和歌山県和歌山市新堀東2－1－25,https://www.gaccom.jp/kindergarten-99145.html,34.2143215,135.1757713,和歌山県和歌山市新堀東1,高松地区,第8ブロック,中心部地域,1
